Statistical profiling result from ccl-v8.log, (5206 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     82    1.6%          /usr/lib/system/libsystem_malloc.dylib
     50    1.0%          /usr/lib/system/libsystem_platform.dylib
     17    0.3%          /usr/lib/system/libsystem_kernel.dylib
     13    0.2%          /usr/lib/system/libsystem_pthread.dylib
     13    0.2%          /usr/lib/system/libsystem_c.dylib
      7    0.1%          /usr/lib/libc++.1.dylib
      5    0.1%          /usr/lib/libc++abi.dylib
      1    0.0%          /usr/lib/libobjc.A.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     35    0.7%    0.7%  LazyCompile: *wrap /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     35    0.7%    0.7%  LazyCompile: *parse /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     21    0.4%    0.4%  LazyCompile: *resolve path.js:973:10
     18    0.3%    0.4%  LazyCompile: *SourceNode_walk /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/source-map/lib/source-node.js:221:53
     14    0.3%    0.3%  LazyCompile: *next /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      8    0.2%    0.2%  LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      7    0.1%    0.1%  RegExp: (?:\r\n?|\n).*
      7    0.1%    0.1%  LazyCompile: *generateList /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      6    0.1%    0.1%  LazyCompile: *next /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/router/index.js:176:16
